Season,Round,Team A,Team B,Team A SRS,Team B SRS,Team A ORtg,Team B ORtg,Team A DRtg,Team B DRtg,Winner,Team A Age,Team B Age,Team A W,Team B W,Team A L,Team B L,Team A PW,Team B PW,Team A PL,Team B PL,Team A MOV,Team B MOV,Team A SOS,Team B SOS,Team A NRtg,Team B NRtg,Team A Pace,Team B Pace,Team A FTr,Team B FTr,Team A 3PAr,Team B 3PAr,Team A TS%,Team B TS%
2010,First Round,Cleveland Cavaliers,Chicago Bulls,6.17,-1.64,111.2,103.5,104.1,105.3,Cleveland Cavaliers,28.0,26.2,61,41,21,41,59,36,23,46,6.52,-1.63,-0.36,0.0,7.1,-1.8,91.4,93.1,0.341,0.287,0.248,0.156,0.57,0.52
2010,First Round,Orlando Magic,Charlotte Bobcats,7.12,1.3,111.4,104.4,103.3,102.8,Orlando Magic,27.9,27.4,59,44,23,38,61,45,21,37,7.49,1.46,-0.37,-0.17,8.1,1.6,92.0,90.4,0.34,0.346,0.35,0.211,0.573,0.538
2010,First Round,Atlanta Hawks,Milwaukee Bucks,4.44,1.37,111.9,104.9,106.7,103.1,Atlanta Hawks,26.5,26.4,53,46,29,36,54,46,28,36,4.66,1.7,-0.22,-0.32,5.2,1.8,90.1,91.7,0.281,0.239,0.214,0.259,0.545,0.518
2010,First Round,Boston Celtics,Miami Heat,3.37,1.99,107.7,106.6,103.8,104.1,Boston Celtics,29.4,27.1,50,47,32,35,52,48,30,34,3.66,2.28,-0.29,-0.29,3.9,2.5,91.6,89.6,0.332,0.296,0.228,0.219,0.564,0.537
2010,First Round,Los Angeles Lakers,Oklahoma City Thunder,4.78,3.55,108.8,108.3,103.7,104.6,Los Angeles Lakers,28.4,23.2,57,50,25,32,54,51,28,31,4.72,3.49,0.06,0.06,5.1,3.7,92.8,93.1,0.289,0.333,0.227,0.185,0.538,0.547
2010,First Round,Dallas Mavericks,San Antonio Spurs,2.66,5.07,109.2,110.0,106.3,104.5,San Antonio Spurs,30.7,28.7,55,50,27,32,49,55,33,27,2.72,5.09,-0.06,-0.02,2.9,5.5,92.5,91.7,0.277,0.296,0.222,0.232,0.552,0.552
2010,First Round,Phoenix Suns,Portland Trail Blazers,4.67,3.18,115.3,110.8,110.2,107.1,Phoenix Suns,28.5,26.6,54,50,28,32,54,51,28,31,4.9,3.3,-0.23,-0.13,5.1,3.7,95.3,87.7,0.312,0.315,0.261,0.215,0.585,0.547
2010,First Round,Denver Nuggets,Utah Jazz,4.15,5.33,111.8,110.7,107.5,105.0,Utah Jazz,27.7,25.6,53,53,29,29,52,55,30,27,4.09,5.34,0.06,-0.01,4.3,5.7,94.8,93.8,0.376,0.34,0.227,0.184,0.561,0.565
2010,Conference Semifinals,Cleveland Cavaliers,Boston Celtics,6.17,3.37,111.2,107.7,104.1,103.8,Boston Celtics,28.0,29.4,61,50,21,32,59,52,23,30,6.52,3.66,-0.36,-0.29,7.1,3.9,91.4,91.6,0.341,0.332,0.248,0.228,0.57,0.564
2010,Conference Semifinals,Orlando Magic,Atlanta Hawks,7.12,4.44,111.4,111.9,103.3,106.7,Orlando Magic,27.9,26.5,59,53,23,29,61,54,21,28,7.49,4.66,-0.37,-0.22,8.1,5.2,92.0,90.1,0.34,0.281,0.35,0.214,0.573,0.545
